Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BT8,NO,01/01/2018 00:00,6.60000,ppb,R
BT8,NO,02/01/2018 00:00,19.60000,ppb,R
BT8,NO,03/01/2018 00:00,3.80000,ppb,R
BT8,NO,04/01/2018 00:00,12.50000,ppb,R
BT8,NO,05/01/2018 00:00,36.10000,ppb,R
BT8,NO,06/01/2018 00:00,19.60000,ppb,R
BT8,NO,07/01/2018 00:00,5.70000,ppb,R
BT8,NO,08/01/2018 00:00,11.50000,ppb,R
BT8,NO,09/01/2018 00:00,48.20000,ppb,R
BT8,NO,10/01/2018 00:00,61.00000,ppb,R
BT8,NO,11/01/2018 00:00,102.70000,ppb,R
BT8,NO,12/01/2018 00:00,32.20000,ppb,R
BT8,NO,13/01/2018 00:00,10.10000,ppb,R
BT8,NO,14/01/2018 00:00,15.40000,ppb,R
BT8,NO,15/01/2018 00:00,10.00000,ppb,R
BT8,NO,16/01/2018 00:00,6.90000,ppb,R
BT8,NO,17/01/2018 00:00,8.90000,ppb,R
BT8,NO,18/01/2018 00:00,8.80000,ppb,R
BT8,NO,19/01/2018 00:00,25.10000,ppb,R
BT8,NO,20/01/2018 00:00,20.30000,ppb,R
BT8,NO,21/01/2018 00:00,23.60000,ppb,R
BT8,NO,22/01/2018 00:00,29.40000,ppb,R
BT8,NO,23/01/2018 00:00,12.70000,ppb,R
BT8,NO,24/01/2018 00:00,10.20000,ppb,R
BT8,NO,25/01/2018 00:00,20.70000,ppb,R
BT8,NO,26/01/2018 00:00,93.90000,ppb,R
BT8,NO,27/01/2018 00:00,25.10000,ppb,R
BT8,NO,28/01/2018 00:00,5.60000,ppb,R
BT8,NO,29/01/2018 00:00,33.40000,ppb,R
BT8,NO,30/01/2018 00:00,93.90000,ppb,R
BT8,NO,31/01/2018 00:00,10.90000,ppb,R
BT8,NO,01/02/2018 00:00,38.40000,ppb,R
BT8,NO,02/02/2018 00:00,68.90000,ppb,R
BT8,NO,03/02/2018 00:00,35.10000,ppb,R
BT8,NO,04/02/2018 00:00,15.90000,ppb,R
BT8,NO,05/02/2018 00:00,18.40000,ppb,R
BT8,NO,06/02/2018 00:00,70.90000,ppb,R
